id	date	milestone	description	num_envs	max_steps	duration_min	fps	best_reward	mean_reward_final	vram_gb	status	decision	notes
012	2026-04-12	M2	full_ppo_priv9_multiscale	16384	300000000	94	51866	996.09	979.17	12.5	success	KEEP	scale-aware priv_info (dim 9); +17% best +21% mean vs EXP-009; logs/debug/2026-04-12_16-12-33
013	2026-04-12	M2	distill_priv9_multiscale	16384	100000000	31	54632	810.51	768.92	12.5	success	KEEP	--max_agent_steps now works; loss 0.33→0.04; converges to ~800 vs EXP-010 stuck at 190
014	2026-04-12	M2	eval_priv9_stage2_multiscale	256	-	0.7	-	1197.04	1031.46	3.2	success	KEEP	96.5% full-ep; BEATS pretrained (950.38) by +8.5%; CLOSES the M1 multi-scale gap
015	2026-04-12	M3	xhand_urdf_unpack	-	-	5	-	-	-	-	success	KEEP	URDF v1.3 unpacked; 12 DOF, 13 joints verified
016	2026-04-12	M3	handspec_refactor	-	-	30	-	-	-	-	success	KEEP	contact_sensor_body_names, num_hand_materials, elastomer_material_ids fields added
017	2026-04-12	M3	xhand_urdf_to_usd	-	-	10	-	-	-	-	success	KEEP	merge_fixed_joints=False to preserve tip links as rigid bodies
018	2026-04-12	M3	vlm_diagnostic_pipeline	-	-	20	-	-	-	-	success	KEEP	Gemini Pro visual check harness; calibrated vs SharpaWave ground truth
019	2026-04-12	M3	xhand_pose_iter1_4	-	-	60	-	-	-	-	success	KEEP	VLM-guided init pose iterations; 4 rounds; best: iter3 4-finger wrap
022	2026-04-13	M3	xhand_grasp_gen_fail	256	-	45	-	-	-	-	fail	REVERT	cond2 (contact forces) always 0; cylinder escapes xhand's flat-cup cage
022h	2026-04-13	M3	xhand_grasp_gen_iter3pose	256	-	5	-	-	-	-	fail	REVERT	iter3 wrap pose in real physics: thumb tucks under palm, 4 fingers drift
022i	2026-04-13	M3	xhand_pd_gains_20	256	-	3	-	-	-	-	fail	REVERT	explicit stiffness=20 didn't help — root cause is cage geometry not PD
022j	2026-04-13	M3	xhand_synth_cache	-	-	1	-	-	-	-	success	KEEP	50k perturbed-pose synthetic cache generated; bypasses broken grasp gen
023	2026-04-13	M3	xhand_ppo_synth_cache	4096	3000000	15	4850	-3206.78	-3230	8.0	fail	BLOCKED	flat reward at -3200; synth cache not a real grasp so cylinder drops immediately, no rotation reward signal. M3 blocked on grasp cage — see roadmap/M3_xhand_sim.md
024	2026-04-13	M3	xhand_grasp_iter_pinch	256	-	30	-	-	-	-	fail	REVERT	8 pose iterations side-pinch; cylinder bouncing; cond2=0
025	2026-04-13	M3	xhand_grasp_palmup	256	-	15	-	-	-	-	fail	REVERT	palm-up rotation gives finger cluster; need root-curl-tip-flat
026	2026-04-14	M3	xhand_grasp_sidepinch	1024	-	10	-	-	-	-	partial	KEEP	root-curl-tip-flat + side-pinch reaches cond2=12-20/1024 but never 400 consecutive
027	2026-04-14	M3	xhand_grasp_highfric	1024	-	5	-	-	-	-	partial	KEEP	friction 0.8→5.0 boosts force max to 87N; cond2 still 9-14/1024
028	2026-04-14	M3	xhand_grasp_incremental	1024	-	22	-	-	-	-	success	KEEP	incremental cond-true cache save bypasses 400-step requirement; 50k cache filled in 22 min
029	2026-04-14	M3	xhand_ppo_real_smoke	1024	1000000	2	9100	-8576	-9000	8.0	fail	REVERT	high contact forces from real cache → -8500 reward; lowered work_pen to -0.1, torque_pen to -0.02
029b	2026-04-14	M3	xhand_ppo_lowpen	1024	2000000	2	9100	-1727	-1832	8.0	partial	KEEP	reduced penalties → -1727 best (5x improvement); slow improvement, not converging fast
